year,date,host_city,winner,song,performer,points,margin,runner_up,placement
1956,24-May,Lugano,Switzerland,Refrain,Lys Assia,Not announced,Not announced,Not announced,9
1957,3-Mar,Frankfurt,Netherlands,Net als toen,Corry Brokken,31,14,France,6
1958,12-Mar,Hilversum,France,"Dors, mon amour",Andr_ Claveau,27,3,Switzerland,3
1959,11-Mar,Cannes,Netherlands,Een beetje,Teddy Scholten,21,5,United Kingdom,5
1960,29-Mar,London,France,Tom Pillibi,Jacqueline Boyer,32,7,United Kingdom,13
1961,18-Mar,Cannes,Luxembourg,Nous les amoureux,Jean-Claude Pascal,31,7,United Kingdom,14
1962,18-Mar,Luxembourg,France,Un premier amour,Isabelle Aubret,26,13,Monaco,9
1963,23-Mar,London,Denmark,Dansevise,Grethe and J�rgen Ingmann,42,2,Switzerland,8
1964,21-Mar,Copenhagen,Italy,Non ho l'et�,Gigliola Cinquetti,49,32,United Kingdom,12
1965,20-Mar,Naples,Luxembourg,"Poup_e de cire, poup_e de son",France Gall,32,6,United Kingdom,15
1966,5-Mar,Luxembourg,Austria,"Merci, Ch_rie",Udo J�rgens,31,15,Sweden,9
1967,8-Apr,Vienna,United Kingdom,Puppet on a String,Sandie Shaw,47,25,Ireland,11
1968,6-Apr,London,Spain,"La, la, la",Massiel,29,1,United Kingdom,15
1969,29-Mar,Madrid,Spain,Vivo cantando,Salom_,18,No runner-up,No runner-up,7
1969,29-Mar,Madrid,United Kingdom,Boom Bang-a-Bang,Lulu,18,No runner-up,No runner-up,3
1969,29-Mar,Madrid,Netherlands,De troubadour,Lenny Kuhr,18,No runner-up,No runner-up,14
1969,29-Mar,Madrid,France,"Un jour, un enfant",Frida Boccara,18,No runner-up,No runner-up,8
1970,21-Mar,Amsterdam,Ireland,All Kinds of Everything,Dana,32,6,United Kingdom,12
1971,3-Apr,Dublin,Monaco,"Un banc, un arbre, une rue",S_verine,128,12,Spain,3
1972,25-Mar,Edinburgh,Luxembourg,Apr�s toi,Vicky Leandros,128,14,United Kingdom,17
1973,7-Apr,Luxembourg,Luxembourg,Tu te reconna�tras,Anne-Marie David,129,4,Spain,11
1974,6-Apr,Brighton,Sweden,Waterloo,ABBA,24,6,Italy,8
1975,22-Mar,Stockholm,Netherlands,Ding-a-dong,Teach-In,152,14,United Kingdom,1
1976,3-Apr,The Hague,United Kingdom,Save Your Kisses for Me,Brotherhood of Man,164,17,France,1
1977,7-May,London,France,L'oiseau et l'enfant,Marie Myriam,136,15,United Kingdom,18
1978,22-Apr,Paris,Israel,A-Ba-Ni-Bi(_-_-__-__),Izhar Cohenand theAlphabeta,157,32,Belgium,18
1979,31-Mar,Jerusalem,Israel,Hallelujah(______),Gali AtariandMilk and Honey,125,9,Spain,10
1980,19-Apr,The Hague,Ireland,What's Another Year,Johnny Logan,143,15,Germany,17
1981,4-Apr,Dublin,United Kingdom,Making Your Mind Up,Bucks Fizz,136,4,Germany,14
1982,24-Apr,Harrogate,Germany,Ein bi�chen Frieden,Nicole,161,61,Israel,18
1983,23-Apr,Munich,Luxembourg,Si la vie est cadeau,Corinne Herm�s,142,6,Israel,20
1984,5-May,Luxembourg,Sweden,Diggi-Loo Diggi-Ley,Herreys,145,8,Ireland,1
1985,4-May,Gothenburg,Norway,La det swinge,Bobbysocks!,123,18,Germany,13
1986,3-May,Bergen,Belgium,J'aime la vie,Sandra Kim,176,36,Switzerland,13
1987,9-May,Brussels,Ireland,Hold Me Now,Johnny Logan,172,31,Germany,20
1988,30-Apr,Dublin,Switzerland,Ne partez pas sans moi,C_line Dion,137,1,United Kingdom,9
1989,6-May,Lausanne,Yugoslavia,Rock Me,Riva,137,7,United Kingdom,22
1990,5-May,Zagreb,Italy,Insieme: 1992,Toto Cutugno,149,17,Ireland,19
1991,4-May,Rome,Sweden,F�ngad av en stormvind,Carola,146,0,France,8
1992,9-May,Malm_,Ireland,Why Me?,Linda Martin,155,16,United Kingdom,17
1993,15-May,Millstreet,Ireland,In Your Eyes,Niamh Kavanagh,187,23,United Kingdom,14
1994,30-Apr,Dublin,Ireland,Rock 'n' Roll Kids,Paul HarringtonandCharlie McGettigan,226,60,Poland,3
1995,13-May,Dublin,Norway,Nocturne,Secret Garden,148,29,Spain,5
1996,18-May,Oslo,Ireland,The Voice,Eimear Quinn,162,48,Norway,17
1997,3-May,Dublin,United Kingdom,Love Shine a Light,Katrina and the Waves,227,70,Ireland,24
1998,9-May,Birmingham,Israel,Diva(_____),Dana International,172,6,United Kingdom,8
1999,29-May,Jerusalem,Sweden,Take Me to Your Heaven,Charlotte Nilsson,163,17,Iceland,15
2000,13-May,Stockholm,Denmark,Fly on the Wings of Love,Olsen Brothers,195,40,Russia,14
2001,12-May,Copenhagen,Estonia,Everybody,"Tanel Padar,Dave Bentonand2XL",198,21,Denmark,20
2002,25-May,Tallinn,Latvia,I Wanna,Marie N,176,12,Malta,23
2003,24-May,Riga,Turkey,Everyway That I Can,Sertab Erener,167,2,Belgium,4
2004,15-May,Istanbul,Ukraine,Wild Dances,Ruslana,280,17,Serbia and Montenegro,10
2005,21-May,Kiev,Greece,My Number One,Helena Paparizou,230,38,Malta,19
2006,20-May,Athens,Finland,Hard Rock Hallelujah,Lordi,292,44,Russia,17
2007,12-May,Helsinki,Serbia,Molitva(_______),Marija _erifovi_,268,33,Ukraine,17
2008,24-May,Belgrade,Russia,Believe,Dima Bilan,272,42,Ukraine,24
2009,16-May,Moscow,Norway,Fairytale,Alexander Rybak,387,169,Iceland,20
2010,29-May,Oslo,Germany,Satellite,Lena,246,76,Turkey,22
2011,14-May,D�sseldorf,Azerbaijan,Running Scared,Ell & Nikki,221,32,Italy,19
2012,26-May,Baku,Sweden,Euphoria,Loreen,372,113,Russia,17
2013,18-May,Malm_,Denmark,Only Teardrops,Emmelie de Forest,281,47,Azerbaijan,18
2014,10-May,Copenhagen,Austria,Rise Like a Phoenix,Conchita Wurst,290,52,Netherlands,11
2015,23-May,Vienna,Sweden,Heroes,M�ns Zelmerl_w,365,62,Russia,10
2016,14-May,Stockholm,Ukraine,1944,Jamala,534,23,Australia,21
2017,13-May,Kiev,Portugal,Amar pelos dois,Salvador Sobral,758,143,Bulgaria,11
2018,18-May,Lisbon,Israel,Toy,Netta,529,93,Cyprus,22
2019,18-May,Tel Aviv,Netherlands,Arcade,Duncan Laurence,498,26,Italy,12
2021,22-May,Rotterdam,Italy,Zitti E Buoni,Maneskin,524,25,France,24
